iter	Passed	Remaining
407	5331	1202
408	5342	1188
409	5352	1174
410	5364	1161
411	5375	1148
412	5386	1134
413	5398	1121
414	5410	1108
415	5421	1094
416	5433	1081
417	5443	1067
418	5453	1054
419	5464	1040
420	5475	1027
421	5487	1014
422	5497	1000
423	5508	987
424	5519	974
425	5531	960
426	5541	947
427	5553	934
428	5564	920
429	5576	907
430	5587	894
431	5598	881
432	5608	867
433	5621	854
434	5632	841
435	5643	828
436	5654	815
437	5664	801
438	5676	788
439	5688	775
440	5699	762
441	5709	749
442	5720	736
443	5732	723
444	5743	709
445	5754	696
446	5764	683
447	5776	670
448	5787	657
449	5799	644
450	5810	631
451	5823	618
452	5834	605
453	5844	592
454	5855	579
455	5865	566
456	5876	552
457	5888	540
458	5901	527
459	5913	514
460	5926	501
461	5937	488
462	5948	475
463	5959	462
464	5970	449
465	5981	436
466	5991	423
467	6005	410
468	6016	397
469	6027	384
470	6039	371
471	6050	358
472	6061	346
473	6073	333
474	6084	320
475	6095	307
476	6106	294
477	6118	281
478	6130	268
479	6141	255
480	6151	243
481	6163	230
482	6174	217
483	6185	204
484	6197	191
485	6208	178
486	6220	166
487	6231	153
488	6243	140
489	6255	127
490	6267	114
491	6278	102
492	6289	89
493	6302	76
494	6314	63
495	6327	51
496	6338	38
497	6349	25
498	6360	12
499	6370	0
