iter	Logloss
0	0.583585753
1	0.4760809975
2	0.3934027878
3	0.3389435954
4	0.3024109808
5	0.2678911462
6	0.2422011423
7	0.2231019472
8	0.2094563705
9	0.1967210898
10	0.1862581923
11	0.1814529262
12	0.176720015
13	0.1706989002
14	0.1668357328
15	0.164735074
16	0.1606175509
17	0.1575218986
18	0.1560874292
19	0.1539996354
20	0.1524838435
21	0.1512852845
22	0.1507899162
23	0.1498077577
24	0.1484058568
25	0.148019487
26	0.1473179646
27	0.1464046399
28	0.1460014091
29	0.1455142805
30	0.1451927931
31	0.144746417
32	0.1442938925
33	0.1438419538
34	0.1435787564
35	0.143334715
36	0.1432354554
37	0.1429434587
38	0.1426781846
39	0.1424248139
40	0.1423315607
41	0.1418672597
42	0.1416070879
43	0.1415473188
44	0.1414628064
45	0.1412457063
46	0.1411536052
47	0.1410174084
48	0.1409750959
49	0.1408838559
50	0.1407297384
51	0.140604235
52	0.1405369731
53	0.1404475027
54	0.1403142558
55	0.1402843459
56	0.1401716339
57	0.140108535
58	0.139980015
59	0.139955405
60	0.1399037136
61	0.1398713291
62	0.1398401608
63	0.1398317767
64	0.1397942939
65	0.1397772426
66	0.1397301052
67	0.1397191565
68	0.13968938
69	0.1396299134
70	0.139622685
71	0.1395962049
72	0.1395678172
73	0.1395288552
74	0.1395209033
75	0.1394749264
76	0.1394479732
77	0.1394425847
78	0.139437371
79	0.1394123184
80	0.1393875562
81	0.139369485
82	0.1393528342
83	0.139336052
84	0.1393366545
85	0.1393106295
86	0.1392902316
87	0.139277067
88	0.1392622882
89	0.1392423266
90	0.1392370153
91	0.1392373971
92	0.1392088889
93	0.1391993954
94	0.1391789396
95	0.1391779394
96	0.1391692735
97	0.1391568329
98	0.1391468996
99	0.1391436296
100	0.1391419306
101	0.1391389107
102	0.1391224372
103	0.1391066649
104	0.1390814006
105	0.1390484038
106	0.1390447519
107	0.1390423443
108	0.1390348679
109	0.1390323241
110	0.1390240796
111	0.139017687
112	0.139004361
113	0.1389941296
114	0.1389780006
115	0.1389554792
116	0.1389477841
117	0.1389396461
118	0.1389288646
119	0.1389230604
120	0.1389137789
121	0.1389057494
122	0.1389038808
123	0.1389027133
124	0.138891906
125	0.1388885622
126	0.1388824958
